Price,Close,High,Low,Open,Volume,Log Returns
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,,
2015-08-13,25.94049072265625,26.222085277355692,25.803072442465577,26.140985908104913,194143200,-0.0007813692748642556
2015-08-14,26.122957229614258,26.201803342429724,25.683670516273555,25.753505399236346,171718000,0.007009418746243328
2015-08-17,26.39328956604004,26.5036741264785,26.01933125291898,26.140980280607167,163538800,0.010295279677793106
2015-08-18,26.24461555480957,26.456375234597463,26.13423095775112,26.228846326658363,138242800,-0.005648948461970986
2015-08-19,25.908954620361328,26.2491196358203,25.834613238684764,26.154504269350266,193146000,-0.012872199086065954
2015-08-20,25.377302169799805,25.760270085103105,25.14752004564438,25.699446416189495,274006400,-0.020733488039642915
2015-08-21,23.825153350830078,25.208345711623945,23.800372891702107,24.877190229383636,513102000,-0.0631132730793897
2015-08-24,23.230424880981445,24.509990599551127,20.725359116819185,21.371900829744945,648825200,-0.025279049271295265
2015-08-25,23.370092391967773,25.030374333971082,23.316026724282544,25.030374333971082,414406400,0.005994265186798693
2015-08-26,24.710487365722656,24.755541809634824,23.66520845476525,24.12476928256331,387098400,0.05577064124043972
2015-08-27,25.438125610351562,25.510213748539748,24.78482589124293,25.282686582871378,338464400,0.029021313692520905
2015-08-28,25.52147674560547,25.52598150204368,25.127244386669297,25.26916741714831,212657600,0.0032712660903951034
2015-08-31,25.402076721191406,25.800813770425442,25.230866786754977,25.23762477964966,224917200,-0.0046893916504195925
2015-09-01,24.266695022583008,25.20384089964455,24.185595645305373,24.814114959848578,307383600,-0.045726096312212
2015-09-02,25.307464599609375,25.307464599609375,24.584330000684076,24.832134579921778,247555200,0.0419945606326487
2015-09-03,24.863672256469727,25.406585638780662,24.789330885017392,25.341255498902857,212935600,-0.01769160302946133
2015-09-04,24.61587142944336,24.88169678581994,24.444663159633794,24.548289760429146,199985200,-0.01001637769225808
2015-09-08,25.300708770751953,25.357027685632065,24.852410689546993,25.174554951409906,219374400,0.02744099503748558
2015-09-09,24.814109802246094,25.685925348698767,24.728503966958986,25.62735492517415,340043200,-0.019419974972476915
2015-09-10,25.359283447265625,25.51922897519716,24.757797788977243,24.84114869131622,251571200,0.02173243891301126
2015-09-11,25.728731155395508,25.728731155395508,25.1768065137865,25.18356450812768,199662000,0.014463437321235497
2015-09-14,25.97653579711914,26.332471752308543,25.875162437635133,26.26263684771809,233453600,0.00958534995221396
2015-09-15,26.195043563842773,26.251362457545124,25.776030857199984,26.11619745640273,173364800,0.008376554708985759
2015-09-16,26.224334716796875,26.25361992750602,26.00581709900472,26.188289794031913,148694000,0.0011175697600193568
2015-09-17,25.66340446472168,26.242362880299186,25.61835001724146,26.05538537641098,256450400,-0.021621759347525173
2015-09-18,25.55752182006836,25.749007497654606,25.201587599083467,25.278180495144515,297141200,-0.004134356918293466
2015-09-21,25.95400619506836,25.990051122337004,25.604829985416206,25.60708150433295,200888000,0.015394309596706141
2015-09-22,25.546260833740234,25.721975577988893,25.348017147948372,25.54175435794482,201384800,-0.01583502008526911
2015-09-23,25.753511428833008,25.843622029740743,25.523731029299196,25.598070685235076,143026800,0.00808002505709028
2015-09-24,25.906700134277344,26.019337960948114,25.31422578472715,25.512467740929644,200878000,0.0059306437125157
2015-09-25,25.841365814208984,26.28741229200735,25.68592508852346,26.231093387769587,224607600,-0.002525093588936306
2015-09-28,25.32999610900879,25.80983265267475,25.32999610900879,25.64763390024769,208436000,-0.019987223702974313
2015-09-29,24.568561553955078,25.57103921605397,24.298231464578294,25.417851707082647,293461600,-0.030521670394901473
2015-09-30,24.847900390625,25.12724166488657,24.494217752810403,24.818613461440563,265892000,0.01130561764340704
2015-10-01,24.685699462890625,24.694710692699427,24.174322913218333,24.570808431223846,255716400,-0.006549150797252194
2015-10-02,24.86592674255371,25.007851508392402,24.22839793070955,24.332024528107247,232079200,0.007274355584663073
2015-10-05,24.956035614013672,25.088949137955048,24.570814468299,24.75328719029101,208258800,0.003617238882197485
2015-10-06,25.075429916381836,25.17229850638232,24.728505238675844,24.92224241867681,192787200,0.004772777600920711
2015-10-07,24.956035614013672,25.17905802075021,24.647409081135017,25.172300026412252,187062400,-0.004772777600920612
2015-10-08,24.667680740356445,24.823121470353485,24.377074980182964,24.823121470353485,247918400,-0.011621786533161921
2015-10-09,25.25790786743164,25.29395107965489,24.66543177580045,24.78032284477605,211064400,0.02364537477187722
2015-10-12,25.140762329101562,25.399829671713846,25.10471911864385,25.395324914925443,121868800,-0.004648763502789143
2015-10-13,25.183563232421875,25.332244256546574,24.933507142164405,24.965045593303486,132197200,0.001701002970741748
2015-10-14,24.827621459960938,25.122731919705245,24.681191989250667,25.070919498798034,177849600,-0.014234727088671368
2015-10-15,25.19933319091797,25.253398863197944,24.890704945832848,24.989826777276747,150694000,0.014860731551717167
2015-10-16,25.01460838317871,25.230872800940755,24.89971732043372,25.181311882944218,156930400,-0.007357543951489862
2015-10-19,25.1700496673584,25.174554424219043,24.805102487839708,24.96054323964307,119036800,0.006194792883396867
2015-10-20,25.629610061645508,25.719720665801567,24.965047578588607,25.08219016088971,195871200,0.018093543701002687
2015-10-21,25.627351760864258,26.037353268494954,25.613834056652095,25.681417421563808,167180800,-8.811684120226466e-05
2015-10-22,26.01934051513672,26.01934051513672,25.703954225755297,25.755768387345597,166616400,0.015179918175980064
2015-10-23,26.825822830200195,26.859614518944007,26.20631483852487,26.28966572288069,237467600,0.030524834594806583
