Price,Close,High,Low,Open,Volume,Log Returns
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,,
2015-01-05,39.7036247253418,40.04641251701217,39.635065205549026,39.73790121614035,39673900,-0.009238551254086218
2015-01-06,39.12089920043945,40.063570131180455,39.02663145354549,39.74649038452747,36447900,-0.014785655831868538
2015-01-07,39.61793518066406,39.81503894545161,38.98377581032129,39.403691531664734,29114100,0.012625093732164288
2015-01-08,40.78342056274414,40.920536365351005,40.03785359038797,40.06356178178344,29645200,0.02899371573683283
2015-01-09,40.44062423706055,40.98051907083948,40.19210412420196,40.80055521594589,23944200,-0.008440809905523252
2015-01-12,39.935020446777344,40.740578771815194,39.72934834569044,40.63773945217263,23651900,-0.01258118579157137
2015-01-13,39.72934341430664,41.057653405039076,39.47225168530983,40.25209844908942,35270600,-0.005163600874853086
2015-01-14,39.38655090332031,39.62650600865315,39.09517941542218,39.38655090332031,29719600,-0.008665633095743914
2015-01-15,38.975196838378906,39.74647513607096,38.9152088895693,39.60935935749216,32750800,-0.010498945093632197
2015-01-16,39.626522064208984,39.6607985767742,38.70955588471641,38.82953512054434,35695300,0.0165731778683591
2015-01-20,39.75505065917969,39.97786588300665,39.05233175775364,39.67792281540861,36161900,0.003238250462332557
2015-01-21,39.35227584838867,39.54081132463672,38.97520816499156,39.36941573432931,39081100,-0.010183084400691496
2015-01-22,40.389225006103516,40.397793316074576,39.48940208056223,39.74649387798837,35898000,0.02600923238811889
2015-01-23,40.432064056396484,40.61202794745758,40.10641277559628,40.58631975419138,26211600,0.0010600933195141497
2015-01-26,40.286380767822266,40.389220089553824,39.62651310009021,40.27781245889422,42525500,-0.0036096693159964437
2015-01-27,36.55854034423828,37.02130746394866,36.087204915984685,36.80706379027893,169164000,-0.0970986447779149
2015-01-28,35.29878234863281,36.66994366043949,35.27307415692536,36.62709558456086,84507100,-0.03506635187885143
2015-01-29,36.001502990722656,36.095770723661914,34.95599615863881,35.07597208452558,63585300,0.019712218355611336
2015-01-30,34.62176513671875,35.6329951338484,34.578913803830325,35.6072836802958,78004900,-0.03907815283818758
2015-02-02,35.375911712646484,35.45303956018098,34.47608900414318,34.78460039428118,50352500,0.021548593938227098
2015-02-03,35.6501350402832,35.9329381718256,35.17879975681056,35.67584649621307,52082400,0.007721806372414457
2015-02-04,35.855812072753906,36.172891712342754,35.44446471810125,35.94150821239473,41614800,0.0057527410795283895
2015-02-05,36.37858581542969,36.54140987249262,35.87297048453967,36.18148197716407,36548200,0.014474623872504366
2015-02-06,36.344295501708984,36.66994679056151,36.12148352666184,36.57567905412271,34616600,-0.0009430406397798257
2015-02-09,36.301448822021484,36.6271001234317,36.1729013093572,36.19861277334948,31381100,-0.001179606184909822
2015-02-10,36.50712585449219,36.652813273146045,36.147198000934694,36.6271050747775,29670700,0.005649817497256063
2015-02-11,36.31858825683594,36.54997181529586,36.17290085968754,36.54997181529586,38262500,-0.005177787026820416
2015-02-12,36.927040100097656,36.927040100097656,36.429993202960425,36.55854071610945,33268800,0.016614393327467857
2015-02-13,37.59547424316406,37.59547424316406,36.97845476307092,37.17555852592971,40264900,0.017939600553389116
2015-02-17,37.612735748291016,37.97522495158539,37.276134397907676,37.949333806311024,33695700,0.0004590324761622392
2015-02-18,37.5695915222168,37.716315741434,37.448761748958155,37.65590085480468,27111700,-0.0011477226730432142
2015-02-19,37.543697357177734,37.56958850869513,37.155313622596175,37.26751409977843,27603400,-0.0006894696384926223
2015-02-20,37.85441589355469,37.871677763953954,37.362464110453644,37.55233810011528,29721100,0.008242123893339547
2015-02-23,38.10470199584961,38.13922243877496,37.67316518181899,37.71631820474913,32518800,0.0065900451466163554
2015-02-24,38.05290222167969,38.23414682590796,37.90617804752105,38.10468780532922,25271700,-0.0013603311892513867
2015-02-25,37.96660232543945,38.05290835306492,37.802616263641575,37.9320785974437,29759800,-0.0022704681864881573
2015-02-26,38.027015686035156,38.17373658561732,37.880291494089214,37.966600810635,28957300,0.0015899591282390962
2015-02-27,37.84577178955078,38.14784949101883,37.6817890092321,38.08743460919805,33807700,-0.004777582246809406
